,Nr,xNi,T,t,Ms,cfrac,mipd
152,705.0,0.513250896409154,744.3551936373115,-1840.618421137333,233.08882166994857,0.0338564441740958,3.631495053396943e-08
153,542.0,0.5113268359005452,687.876595556736,-3448.2147373259068,324.2087295877989,0.1282746575629645,7.93014349473708e-09
154,550.0,0.5177278184145689,665.68479064852,-3083.7260484695435,293.9707333399715,0.1793137920878466,5.109849841695316e-09
155,577.0,0.5127658639615402,721.8959515914321,-3102.5565069168806,318.9513513254872,0.1413935763601654,1.641404454102254e-08
156,582.0,0.5188447334989905,660.9517248347402,-2562.148692458868,204.46421561742704,0.1078760815105275,5.5824288244987945e-09
157,598.0,0.5210328937787563,707.384489364922,-2897.852809354663,328.629461647252,0.2745802765231152,1.039409772726642e-08
158,619.0,0.5295128335757181,743.9758940786123,-3062.865499779582,177.31049382189622,0.2787355628818744,3.3955493701808504e-08
159,626.0,0.5111560055054725,684.7066643834114,-3037.096471711993,315.00807198291443,0.111787531319384,7.528662902017968e-09
160,638.0,0.5139754854515195,698.2323645055294,-2141.849510371685,301.53595060756146,0.1333215474434754,8.975117321823281e-09
161,686.0,0.5150873617967591,667.4977251142263,-1457.2756234556437,159.9387968037541,0.023584879946834,7.59546828300233e-09
162,642.0,0.5084319369727746,680.5829365551472,-2206.264191493392,286.4789289736756,0.0249863487147385,8.660189895153799e-09
163,654.0,0.5167004177393392,701.4771717786789,-2971.820855140686,329.4057040550298,0.2132627492773815,9.260038879508393e-09
164,665.0,0.5169143188372255,716.9620545953512,-2726.6840368509293,323.2408864148828,0.2079975834380139,1.3154807144299324e-08
165,670.0,0.511877770475112,650.4246419668198,-2411.274941638112,245.5806798363106,0.0233619109637918,5.8645113367960555e-09
166,678.0,0.5181326946383342,703.1440595164895,-1870.9021266549823,285.5976496015184,0.1739168970307398,9.53991920709943e-09
167,690.0,0.5101412071892992,697.1343407779932,-1127.9043596237898,259.3073737148015,0.011465727523208,1.228063946867722e-08
