Unnamed: 0,Nr,xNi,T,t,Ms,cfrac,mipd
132,10493.0,0.5149422505591065,736.7836344242096,-2987.433708831668,306.16459227601234,0.1547114883656113,2.4313292306872097e-08
133,10496.0,0.5228296532947571,707.339320294559,-3235.717804357409,333.1338090747838,0.3058054193265257,1.0426100428800016e-08
134,10498.0,0.515030949995853,656.9860280677676,-2547.791910544038,238.27307244077363,0.0680099863549799,5.363556715058745e-09
135,10501.0,0.5170657665003091,710.5261812359095,-3067.1771574765444,330.92611299559815,0.2205435106733803,1.12518756698413e-08
136,10506.0,0.5205432580737397,698.0015006288886,-1771.2689615786076,254.0279330311108,0.1736693828645773,8.807657547923761e-09
137,10510.0,0.5064409476798027,669.781529083848,-3599.594211950898,299.8507088222042,0.0168042663503402,8.686878181229294e-09
138,10514.0,0.5135149921569974,690.7052413374186,-2888.1655119359493,321.17040147134435,0.1556014693345628,7.844221985590233e-09
139,10519.0,0.5302504441980272,731.3790101930499,-3394.6248918771744,307.83341945365004,0.3855726124546886,2.063540082659797e-08
140,10525.0,0.5156728368951008,733.2875284180045,-1498.1928829103708,224.7861047561788,0.067458062623955,2.2329309903740146e-08
141,10526.0,0.510857596215792,703.4419239684939,-1908.369150012732,284.93616303498675,0.0601229932601155,1.1281125906439411e-08
142,10529.0,0.5099313028343022,739.5171601325274,-2803.8236405700445,270.5019986778431,0.0236710372539885,3.915723111127328e-08
143,10532.0,0.5380636983551086,682.6769546791911,-3535.303673520684,267.40887588409777,0.4678747605446025,7.059888113091881e-09
144,10536.0,0.5298253927333281,695.6480706483126,-2498.9234302192926,254.9692216875499,0.325194736713864,8.64395830785262e-09
145,10538.0,0.5221141900494695,660.2324581891298,-3185.530535504222,239.15334324280423,0.1857742839309524,5.150907304809138e-09
146,1054.0,0.51060168242082,707.0086469501257,-2687.3842500150204,307.0036037403324,0.0910813069952181,1.23685969071968e-08
147,10541.0,0.5128935855580494,722.2687075659633,-1992.9034497588875,284.4602309025314,0.0910001934644871,1.6531792099432644e-08
148,10554.0,0.5176981745986268,686.513933353126,-2176.748751103878,290.37960261738124,0.1738323668970523,6.974847945415639e-09
149,10557.0,0.5141019365191459,740.9913522750139,-3459.149050712585,306.6284927313691,0.1428268288240048,2.9033133596082832e-08
150,10559.0,0.5232656552968546,735.6215948611498,-2345.728690177202,261.5053659703196,0.2254488752527986,2.2704057767045943e-08
151,10561.0,0.5095372762298211,712.3071729391813,-2462.47402690351,292.2945258800348,0.0514348291670059,1.5517310955793373e-08
152,10562.0,0.5145322247454897,683.3992732316256,-930.2640080451964,155.23014328026244,0.0122497832213618,1.0312942197367586e-08
153,10568.0,0.5294559121131898,692.8716772049665,-3062.6841757446527,312.3951138603986,0.3786564194510471,7.932540834983761e-09
154,1057.0,0.5101876491354779,735.0277000293136,-3597.1761133521795,292.2444860278439,0.0613227667271491,3.0733170064059536e-08
155,10573.0,0.512551572099328,725.1026647910476,-3231.643595919013,317.61358886464245,0.1362604724732193,1.8208030819029816e-08
156,10586.0,0.5187323703989387,706.2228905782104,-3412.9830703139305,335.2766524670565,0.2500176794777264,1.0144298126344282e-08
157,10590.0,0.5103566608252004,677.9589737206697,-1585.4985382407904,264.6216194207612,0.0220850372767284,8.003387023783168e-09
158,10591.0,0.5243273155763746,715.9702014178038,-2906.9424100220203,324.19965169737986,0.3168250541922495,1.2854435481879348e-08
159,10594.0,0.5161253548506648,674.8199870809913,-3112.472975626588,316.07785456211343,0.1865282907182832,5.833842711453381e-09
160,10597.0,0.519541916945018,737.6765438169241,-2508.711736276746,288.163046948736,0.1991970717049481,2.387763460001322e-08
161,10605.0,0.5137932366831228,749.1614601761103,-1725.9730361402037,206.31333242627,0.0232898500310838,4.5079607467661615e-08
162,10608.0,0.526498309718445,661.4689435809851,-3461.892481148243,207.35433941582764,0.2390934682062722,5.479601036844993e-09
163,10610.0,0.5117529948661104,700.9806039184332,-2321.6599009931087,303.1410486965718,0.1022927567178255,1.0134700668158541e-08
164,10615.0,0.5285049277404323,721.0440238937736,-2153.139880299568,184.1832070876577,0.26373679348157,1.6138062284040397e-08
165,10622.0,0.5091369694005698,683.7905314192176,-3372.210790961981,311.8049541542713,0.076919469732176,8.237617459466685e-09
166,10626.0,0.5151856680260971,695.4446656629443,-3291.033212095499,331.59606319430696,0.1945084510385089,8.337823832088114e-09
167,10631.0,0.5320955226616935,723.0067805200815,-3009.559978544712,292.07442180561424,0.3969438619630323,1.62033906526997e-08
168,10637.0,0.5118927865289151,713.5352911800146,-1095.987581089139,242.96687363578803,0.0208539471297174,1.5523759942944165e-08
169,10640.0,0.527312737298198,685.8416364341974,-2721.007352694869,282.6809465122507,0.312910053158842,6.9881555206534105e-09
170,10642.0,0.5138890830334276,676.6087184101343,-2057.2582472115755,273.0847425857371,0.0900751404526288,6.359684484237909e-09
171,10645.0,0.5217232638271526,735.8910597488284,-3564.534145966172,325.4588606747946,0.2806146573653877,2.261825182081388e-08
172,10654.0,0.5109240752691403,663.1689436361194,-3046.206735447049,292.89570568833506,0.0736377813657749,5.5042617111236146e-09
173,1066.0,0.521844455585815,664.195146523416,-3067.838315293193,261.79647041394924,0.2029100417511171,5.190145587918771e-09
174,10666.0,0.5221812585182488,708.0112177878618,-2667.2943770885468,321.81036032294827,0.2827508983163838,1.0562757125346126e-08
175,10676.0,0.5341093690274283,704.1724152117968,-3093.7572855502367,303.745283086499,0.4391898595954993,1.0218682779296629e-08
176,10682.0,0.5181597313052043,666.8473957106471,-2782.661172375083,278.75888029831043,0.1650704079217414,5.2733744198177525e-09
177,10685.0,0.5147386639378965,730.6414533406496,-2402.143381163478,296.42853678921284,0.1372711920107521,1.997591712611543e-08
178,10687.0,0.5238587099825963,751.5967262536287,-3514.141098037362,269.9716355283225,0.2441830508872963,4.188145515823689e-08
179,1069.0,0.5128010943997652,718.291714116931,-2546.694746240973,308.6458834428926,0.1264400453322371,1.4824884776410028e-08
180,10693.0,0.5179039372038097,728.1309990212321,-1606.52378462255,238.80427947755075,0.1159518525603965,1.8194757611977592e-08
181,10698.0,0.5196997866546735,680.8598243445158,-3007.0355236530304,318.6395709874112,0.2424723853377179,6.304067829757887e-09
182,107.0,0.5358005684474484,730.9874661266804,-3247.3780509084463,248.02507428467865,0.4172929206109907,2.152370629429276e-08
183,10701.0,0.5120453887991607,746.6458475217223,-2628.151600062847,257.69349285721216,0.0401472224265277,4.182316664751608e-08
184,10703.0,0.5254691451555118,737.466072998941,-3288.062357157469,307.6629766965442,0.3140269568028873,2.4426685901524545e-08
185,10706.0,0.51268718986772,703.1533513590693,-1423.8788053393364,260.5073281980549,0.054049280498747,1.0775126964983204e-08
186,10712.0,0.5332359202345833,701.2420874461532,-3581.346084550023,328.5686851954442,0.4501792984848091,9.569373482595216e-09
187,10714.0,0.5185347477532923,662.1374076232314,-2441.229375824332,200.9656975075158,0.100740685271168,5.708003334886139e-09
188,10717.0,0.516505982815288,720.3650598973036,-2737.372837588191,321.4616903034948,0.1996135393389929,1.4419080269185521e-08
189,10720.0,0.524653268721886,671.7148741707206,-2943.2254761457443,267.6154620230081,0.2542206512707172,5.694583851617764e-09
190,10721.0,0.5106678516790271,721.8558646366,-1564.6496403962374,263.8436458352422,0.0260031830747015,1.9579354566461853e-08
191,10722.0,0.515533002903685,692.609679363668,-1835.079840570688,279.558086805738,0.1250215281365906,7.955348120482012e-09
192,10725.0,0.5191231887461618,749.8995973914862,-3337.2054420411587,287.4779406723709,0.1918071115905966,3.7819065801880334e-08
193,10727.0,0.5324593383725733,725.7821431010962,-2678.6134734749794,214.7356616985968,0.3432803018090549,1.8410070850219048e-08
194,10731.0,0.5354298392171041,712.5766387209296,-3440.8676639199257,318.3480461907848,0.4725608078221063,1.2509508174486667e-08
195,10734.0,0.5072919719899074,709.1550203412771,-2821.9014443457127,290.6718805863506,0.0143123952930832,2.0078788360388252e-08
