,Nr,T1,T2,t1,t2,c,sigma_pc,tges,cfrac,M_sigma_pc_0,M_sigma_pc_1,M_sigma_pc_2,M_sigma_pc_3,M_sigma_pc_4,M_sigma_pc_5,M_sigma_pc_6,M_sigma_pc_7,M_sigma_pc_8,M_sigma_pc_9,M_cfrac_0,M_cfrac_1,M_cfrac_2,M_cfrac_3,M_cfrac_4,M_cfrac_5,M_cfrac_6,M_cfrac_7,M_cfrac_8,M_cfrac_9
40,40.0,324.4108349084854,406.3995400443673,4.292672370715688,2.8938349660951643,0.0013723370563238,110.12803831823771,7.186507336810852,-0.0047079134574158,87.21176147460938,83.43107604980469,69.07024383544922,87.86688232421875,54.30585861206055,60.368534088134766,87.69395446777344,41.10988998413086,69.84625244140625,96.56575012207033,0.0044007594697177,0.0038414790760725,0.0037772837094962,0.0028901766054332,0.0026649651117622,0.0045390860177576,0.0045390860177576,0.0045390860177576,0.0062663699500262,0.0062663699500262
41,41.0,415.8977910876274,381.9742878898978,1.9886065734395133,1.821100583098208,0.0029280841816216,202.2621761619384,3.8097071565377214,-0.011145066725728,171.80833435058594,179.31240844726562,164.65293884277344,144.228515625,170.2738037109375,167.21438598632812,145.94900512695312,187.1508636474609,149.02731323242188,96.56575012207033,0.0113346418365836,0.0111550223082304,0.0110196275636553,0.011272357776761,0.0121321305632591,0.0096848122775554,0.0096848122775554,0.0096848122775554,0.0062663699500262,0.0062663699500262
42,42.0,457.4091296643019,476.8072158098221,3.111740710586309,4.321548383900275,0.002403304176405,59.82392228924783,7.433289094486584,-0.0079516208855953,47.57366943359375,53.16352844238281,45.97553634643555,51.02657699584961,60.86174774169922,93.12957000732422,108.9201202392578,126.07884216308594,122.31819152832033,96.56575012207033,0.0078016594052314,0.0078046596609056,0.0078012314625084,0.0084449052810668,0.0081731118261814,0.0079490710049867,0.0079490710049867,0.0079490710049867,0.0062663699500262,0.0062663699500262
43,43.0,351.64872370660305,301.9909586757421,0.6416778901126237,0.3739181327012678,0.0018358368109911,123.47253814633034,1.0155960228138914,-0.0041027001084993,132.57855224609375,146.9314422607422,167.56898498535156,166.54718017578125,149.79054260253906,91.9453582763672,108.22541046142578,73.56866455078125,93.43646240234376,96.56575012207033,0.0033086927141994,0.0054190517403185,0.0059351758100092,0.0053874580189585,0.0047691180370748,0.0060721389017999,0.0060721389017999,0.0060721389017999,0.0062663699500262,0.0062663699500262
44,44.0,383.9297564700246,473.0702858418226,1.3276421930951376,0.7509108545103421,0.0016919705774635,71.13672428890668,2.07855304760548,-0.0051228915615322,58.48458480834961,58.40024948120117,51.3570671081543,51.82368469238281,43.49636459350586,65.51818084716797,91.35771942138672,62.48997116088867,86.11427307128906,96.56575012207033,0.0045158131979405,0.004548258613795,0.0048289219848811,0.0046123238280415,0.0040509374812245,0.0055962931364774,0.0055962931364774,0.0055962931364774,0.0062663699500262,0.0062663699500262
45,45.0,475.02909172326326,347.9369893670082,4.955919165272887,4.586914925696329,0.002015188941732,10.50254162182384,9.542834090969215,-0.0062994999758745,77.64856719970703,48.99959564208984,53.93644714355469,58.288177490234375,74.50958251953125,60.71149063110352,87.94269561767578,88.64541625976562,102.5647430419922,96.56575012207033,0.0066600488498806,0.0063783144578337,0.0055611357092857,0.0063537862151861,0.0057464744895696,0.0066653569228947,0.0066653569228947,0.0066653569228947,0.0062663699500262,0.0062663699500262
46,46.0,447.78816532343626,443.6725115403533,0.1345404789472619,2.105629195738584,0.00253630743362,82.97099946491086,2.240169674685846,-0.0089958924949146,84.8669662475586,81.44482421875,70.7046127319336,71.38763427734375,81.68753051757812,108.22767639160156,117.4176788330078,140.4198455810547,129.08750915527344,96.56575012207033,0.0085151605308055,0.0086228735744953,0.0086072785779833,0.0091615105047822,0.0091027738526463,0.0083889868110418,0.0083889868110418,0.0083889868110418,0.0062663699500262,0.0062663699500262
47,47.0,342.42148380726576,368.1482100859285,3.616291623267656,3.21273349247252,0.0012326187100261,71.57350183669611,6.829025115740175,-0.0044288084532594,57.83736038208008,67.0071029663086,56.64836502075195,71.59648895263672,47.91950607299805,43.71346664428711,74.62287139892578,33.16516876220703,62.73516845703125,96.56575012207033,0.003523412393406,0.0030499442946165,0.002845853799954,0.0021373906638473,0.002149945590645,0.0040769595652818,0.0040769595652818,0.0040769595652818,0.0062663699500262,0.0062663699500262
48,48.0,345.15588227659464,446.248628385365,2.18013845604534,0.2714854941548159,0.0022763149682432,191.82124354332623,2.451623950200156,-0.0077385161444506,159.81813049316406,148.26632690429688,129.4834442138672,137.31784057617188,109.47188568115234,146.72830200195312,136.71661376953125,113.10698699951172,115.85497283935548,96.56575012207033,0.0076058525592088,0.0076907374896109,0.008332802914083,0.0077607021667063,0.0073322057723999,0.0075290468521416,0.0075290468521416,0.0075290468521416,0.0062663699500262,0.0062663699500262
49,49.0,439.58511147648096,371.8218548223376,4.100223260046914,3.8010605408033977,0.0019550020750612,33.912312887007495,7.901283800850312,-0.0070036171918144,75.82424926757812,69.01541900634766,74.4109878540039,65.39765167236328,71.70689392089844,66.7249526977539,92.19522857666016,83.42941284179688,99.50148010253906,96.56575012207033,0.0065415846183896,0.0061994167044758,0.0056227976456284,0.0060295066796243,0.0054083452560007,0.0064662853255867,0.0064662853255867,0.0064662853255867,0.0062663699500262,0.0062663699500262
50,50.0,487.138538621366,463.5374091565609,0.8431710944821438,1.340304824647804,0.0014954086299985,0.0678099557605093,2.183475919129948,-1.021085154609238e-07,-0.1176512539386749,10.4884033203125,13.361520767211914,2.66028904914856,21.982011795043945,31.7902946472168,63.63727951049805,48.81401062011719,76.1100845336914,96.56575012207033,0.0023830775171518,0.0024188496172428,0.002684193663299,0.0035532715264707,0.0031643877737224,0.0049461526796221,0.0049461526796221,0.0049461526796221,0.0062663699500262,0.0062663699500262
